seed,split,num_images,ratio
42,test,379,0.1503371677905593
42,train,1764,0.6997223324077747
42,val,378,0.14994049980166602
123,test,379,0.1503371677905593
123,train,1764,0.6997223324077747
123,val,378,0.14994049980166602
777,test,379,0.1503371677905593
777,train,1764,0.6997223324077747
777,val,378,0.14994049980166602
2026,test,379,0.1503371677905593
2026,train,1764,0.6997223324077747
2026,val,378,0.14994049980166602
3407,test,379,0.1503371677905593
3407,train,1764,0.6997223324077747
3407,val,378,0.14994049980166602
