sample_id,image_path,relative_path,source_split,label,class_id,split,seed,sha256
trashnet_k5_00001,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard11.jpg,test/cardboard/cardboard11.jpg,test,cardboard,0,train,777,f78d1a1c78d94c7b215b9310f701ea48256c42c105e2455a3c698ef495552523
trashnet_k5_00002,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard110.jpg,test/cardboard/cardboard110.jpg,test,cardboard,0,train,777,b4618ec2441a57414e3080c66e35137ee240aa6588342f61b98ff55a2920b923
trashnet_k5_00003,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard112.jpg,test/cardboard/cardboard112.jpg,test,cardboard,0,train,777,6e6f1d82b3b218ef2c6376bf266efa908814c54fd0b2a44c5c600ffff5596079
trashnet_k5_00005,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard119.jpg,test/cardboard/cardboard119.jpg,test,cardboard,0,train,777,9eca298b852c5d86700d995a32ed4b4b0ec29498b090649fb0ca3749658e66dc
trashnet_k5_00006,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard12.jpg,test/cardboard/cardboard12.jpg,test,cardboard,0,train,777,25d47a740100c9ffbc37f5efe9f49113f9edc75208fdeed383b3ee88f1de2167
trashnet_k5_00007,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard130.jpg,test/cardboard/cardboard130.jpg,test,cardboard,0,train,777,c03d6ce3de22e4139e2429950d3c993f6924acbe505801e38ba88e34a6b769dd
trashnet_k5_00008,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard135.jpg,test/cardboard/cardboard135.jpg,test,cardboard,0,train,777,3e3a0532e27cab09824cc8de8dbc113e9597367ef0768c765bdad44f4e7869f1
trashnet_k5_00009,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard139.jpg,test/cardboard/cardboard139.jpg,test,cardboard,0,train,777,5d9a890325e8be067316639d0a107166c5fa5025a693271941bfe282cc350598
trashnet_k5_00010,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard141.jpg,test/cardboard/cardboard141.jpg,test,cardboard,0,train,777,86fffdf4a0ef8b31d297adaaf32ab1e681a5104365b857411aacf8e053050b88
trashnet_k5_00011,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard143.jpg,test/cardboard/cardboard143.jpg,test,cardboard,0,train,777,4d01e5d817c5f6b4e97cadb176366b66295e632cf2226f7971f2e557424cc77d
trashnet_k5_00012,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard145.jpg,test/cardboard/cardboard145.jpg,test,cardboard,0,train,777,e57e3b344b171c2ff32e3b50985cdfa163f01d81265d11c97ca7c96b8f3a612a
trashnet_k5_00013,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard146.jpg,test/cardboard/cardboard146.jpg,test,cardboard,0,train,777,713e15013b9c91af101f879a8f92b4d24efb4f90820907768211d6d5d920bc3a
trashnet_k5_00014,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard150.jpg,test/cardboard/cardboard150.jpg,test,cardboard,0,train,777,6a3464c6a63d939cf7dfbde1b97305cbfb47dfbfb2982676dcb5896a5c137687
trashnet_k5_00015,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard156.jpg,test/cardboard/cardboard156.jpg,test,cardboard,0,train,777,7b5daf5075ffb94cc6f4e408e780ba39c65c62c4741102d793a098d745fe41c4
trashnet_k5_00018,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard172.jpg,test/cardboard/cardboard172.jpg,test,cardboard,0,train,777,dc136340244a6e65adf8371c06bf0d9d7adcb086ead81d4b072aceba22d80db0
trashnet_k5_00019,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard174.jpg,test/cardboard/cardboard174.jpg,test,cardboard,0,train,777,c00c0deac6ea17c761be9345f20b4d96f4c6c6c3818d55ce94af252aa4bc611e
trashnet_k5_00021,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard190.jpg,test/cardboard/cardboard190.jpg,test,cardboard,0,train,777,088abe8da4601c733f63ab5ac545693835a927ae20a66c49e6906ac7ff157bd2
trashnet_k5_00022,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard196.jpg,test/cardboard/cardboard196.jpg,test,cardboard,0,train,777,2e2814038c3594bb3d50fa40a8a4763ad9087a2b53e21c061f51d7cf0a90b78b
trashnet_k5_00024,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard2.jpg,test/cardboard/cardboard2.jpg,test,cardboard,0,train,777,c368bda01fcf3d9cb13cb16062bbbf5c96843ceb905e730fa9d69f533b318d7e
trashnet_k5_00025,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard20.jpg,test/cardboard/cardboard20.jpg,test,cardboard,0,train,777,836a0b77bcf24950f06b5c69dfe84079f208f12dfcd2aa9b1970b81f3f78e4e2
trashnet_k5_00026,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard201.jpg,test/cardboard/cardboard201.jpg,test,cardboard,0,train,777,b5ead8ef7426dff4f6c3851044cac9cdc96297c4a11d8abc5e48f701213efc88
trashnet_k5_00027,/kaggle/input/datasets/kholiqbudiman/trashnet-k5-waste-classification/test/cardboard/cardboard203.jpg,test/cardboard/cardboard203.jpg,test,cardboard,0,train,777,21fca9f2141321b5856dd917ef588b9c60dd431e6435169d6120e4dac61c820d
