seed,split,label,class_id,num_images
42,test,cardboard,0,60
42,test,glass,1,75
42,test,metal,2,62
42,test,paper,3,89
42,test,plastic,4,72
42,train,cardboard,0,282
42,train,glass,1,348
42,train,metal,2,286
42,train,paper,3,416
42,train,plastic,4,336
42,val,cardboard,0,61
42,val,glass,1,75
42,val,metal,2,61
42,val,paper,3,89
42,val,plastic,4,72
123,test,cardboard,0,61
123,test,glass,1,75
123,test,metal,2,61
123,test,paper,3,89
123,test,plastic,4,72
123,train,cardboard,0,282
123,train,glass,1,348
123,train,metal,2,286
123,train,paper,3,416
123,train,plastic,4,336
123,val,cardboard,0,60
123,val,glass,1,75
123,val,metal,2,62
123,val,paper,3,89
123,val,plastic,4,72
777,test,cardboard,0,60
777,test,glass,1,75
777,test,metal,2,62
777,test,paper,3,89
777,test,plastic,4,72
777,train,cardboard,0,282
777,train,glass,1,348
777,train,metal,2,286
777,train,paper,3,416
777,train,plastic,4,336
777,val,cardboard,0,61
777,val,glass,1,75
777,val,metal,2,61
777,val,paper,3,89
777,val,plastic,4,72
2026,test,cardboard,0,61
2026,test,glass,1,75
2026,test,metal,2,61
2026,test,paper,3,89
2026,test,plastic,4,72
2026,train,cardboard,0,282
2026,train,glass,1,348
2026,train,metal,2,286
2026,train,paper,3,416
2026,train,plastic,4,336
2026,val,cardboard,0,60
2026,val,glass,1,75
2026,val,metal,2,62
2026,val,paper,3,89
2026,val,plastic,4,72
3407,test,cardboard,0,61
3407,test,glass,1,75
3407,test,metal,2,61
3407,test,paper,3,89
3407,test,plastic,4,72
3407,train,cardboard,0,282
3407,train,glass,1,348
3407,train,metal,2,286
3407,train,paper,3,416
3407,train,plastic,4,336
3407,val,cardboard,0,60
3407,val,glass,1,75
3407,val,metal,2,62
3407,val,paper,3,89
3407,val,plastic,4,72
