seed,split,num_images,ratio
42,test,358,0.15016778523489932
42,train,1668,0.6996644295302014
42,val,358,0.15016778523489932
123,test,358,0.15016778523489932
123,train,1668,0.6996644295302014
123,val,358,0.15016778523489932
777,test,358,0.15016778523489932
777,train,1668,0.6996644295302014
777,val,358,0.15016778523489932
2026,test,358,0.15016778523489932
2026,train,1668,0.6996644295302014
2026,val,358,0.15016778523489932
3407,test,358,0.15016778523489932
3407,train,1668,0.6996644295302014
3407,val,358,0.15016778523489932
