epoch,train_loss,train_acc,train_loss_soft,train_loss_hard,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_monitor,early_stop_value,early_stop_improved,epochs_without_improvement
1,0.24452167024000657,0.9172661870503597,,0.24452167024000657,0.7077045863150885,0.7932960893854749,1e-05,15.392837762832642,True,val_loss,0.7077045863150885,True,0
2,0.2497183816502992,0.9088729016786571,,0.2497183816502992,0.71183716022935,0.7877094972067039,9.993147673772869e-06,6.9755072593688965,False,val_loss,0.71183716022935,False,1
3,0.246738590005276,0.9244604316546763,,0.246738590005276,0.7085861550363083,0.7821229050279329,9.972609476841366e-06,6.591563940048218,False,val_loss,0.7085861550363083,False,2
4,0.23984125915834373,0.9148681055155875,,0.23984125915834373,0.6929337202919928,0.7932960893854749,9.938441702975689e-06,6.581639289855957,False,val_loss,0.6929337202919928,True,0
5,0.2610595917029918,0.9106714628297362,,0.2610595917029918,0.6875458356388454,0.8016759776536313,9.890738003669029e-06,6.387476682662964,True,val_loss,0.6875458356388454,True,0
6,0.22254560842252463,0.9220623501199041,,0.22254560842252463,0.7139734286585999,0.7960893854748603,9.829629131445342e-06,6.519424200057983,False,val_loss,0.7139734286585999,False,1
7,0.24747785974106343,0.9148681055155875,,0.24747785974106343,0.6899718315491463,0.7960893854748603,9.755282581475769e-06,6.44047474861145,False,val_loss,0.6899718315491463,False,2
8,0.24431376096656282,0.9106714628297362,,0.24431376096656282,0.7030169421068116,0.7960893854748603,9.667902132486009e-06,6.310694456100464,False,val_loss,0.7030169421068116,False,3
9,0.2435855050381425,0.9166666666666666,,0.2435855050381425,0.6970888350429482,0.8044692737430168,9.567727288213005e-06,6.561179161071777,True,val_loss,0.6970888350429482,False,4
10,0.23915814845967923,0.9136690647482014,,0.23915814845967923,0.6966728258815558,0.8100558659217877,9.45503262094184e-06,6.439136981964111,True,val_loss,0.6966728258815558,False,5
11,0.19827658021978908,0.934052757793765,,0.19827658021978908,0.671405818583912,0.7932960893854749,9.330127018922195e-06,6.089866638183594,False,val_loss,0.671405818583912,True,0
12,0.25224895746730785,0.9058752997601919,,0.25224895746730785,0.6956491174811091,0.8072625698324022,9.193352839727122e-06,6.023683309555054,False,val_loss,0.6956491174811091,False,1
